"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
4041,"LETO","medium_airport","Torrejón Airport",40.496700286865234,-3.4458699226379395,2026,"EU","ES","ES-M","Madrid","no","LETO","TOJ",,,"https://en.wikipedia.org/wiki/Madrid-Torrej%C3%B3n_Airport",
30383,"LETP","small_airport","Santo Tome Del Puerto Airport",41.204200744628906,-3.594719886779785,3638,"EU","ES","ES-CL","Segovia","no","LETP",,,,,
43307,"LETR","heliport","Tremp Heliport",42.16939926147461,0.8927779793739319,1930,"EU","ES","ES-CT","Tremp","no","LETR",,,,,
43306,"LETS","heliport","Torre Picasso Heliport",40.44982914369999,-3.69314432144,2340,"EU","ES","ES-M","Madrid","no","LETS",,,,,
43303,"LETV","heliport","Tirviá Heliport",42.518798828125,1.2423100471496582,3150,"EU","ES","ES-CT","Tirvia","no","LETV",,,,,
43305,"LETZ","small_airport","Torozos Airport",41.785301208496094,-4.864729881286621,2784,"EU","ES","ES-CL","Valladolid","no","LETZ",,,,,
43308,"LEUL","heliport","Ullastrell-Teresa Vilá Heliport",41.52429962158203,1.9715800285339355,450,"EU","ES","ES-CT","Ullastrell","no","LEUL",,,,,
43253,"LEVB","small_airport","El Carrascal Airport",41.82469940185547,-4.893060207366943,2788,"EU","ES","ES-CL","Valladolid","no","LEVB",,,,,
4042,"LEVC","medium_airport","Valencia Airport",39.4893,-0.481625,240,"EU","ES","ES-V","Valencia","yes","LEVC","VLC",,,"https://en.wikipedia.org/wiki/Valencia_Airport",
4043,"LEVD","medium_airport","Valladolid Airport",41.7061004639,-4.85194015503,2776,"EU","ES","ES-CL","Valladolid","yes","LEVD","VLL",,,"https://en.wikipedia.org/wiki/Valladolid_Airport",
321575,"LEVE","small_airport","Aeródromo Virgen de La Estrella",38.4205555556,-6.3569444444,1837,"EU","ES","ES-BA","Zafra","no","LEVE",,,,,
43311,"LEVF","small_airport","Villaframil Airport",43.5525016784668,-7.087779998779297,80,"EU","ES","ES-GA","Lugo","no","LEVF",,,,,
43309,"LEVH","heliport","Vielha Heliport",42.70439910888672,0.7969459891319275,3200,"EU","ES","ES-CT","Vielha","no","LEVH",,,,,
43258,"LEVI","small_airport","Viso del Marqués Airport",38.5055999756,-3.4261500835399996,2672,"EU","ES","ES-CM","Viso del Marqués","no","LEVI",,,,,
43310,"LEVR","heliport","Vilaller Heliport",42.3046989440918,0.7130560278892517,2870,"EU","ES","ES-AR",,"no","LEVR",,,,,
4045,"LEVT","medium_airport","Vitoria/Foronda Airport",42.8828010559082,-2.7244699001312256,1682,"EU","ES","ES-PV","Alava","yes","LEVT","VIT",,,"https://en.wikipedia.org/wiki/Vitoria_Airport",
4046,"LEVX","medium_airport","Vigo Airport",42.2318000793457,-8.62677001953125,856,"EU","ES","ES-GA","Vigo","yes","LEVX","VGO",,,"https://en.wikipedia.org/wiki/Vigo-Peinador_Airport",
4047,"LEXJ","medium_airport","Santander Airport",43.427101135253906,-3.82000994682312,16,"EU","ES","ES-S","Santander","yes","LEXJ","SDR",,,"https://en.wikipedia.org/wiki/Santander_Airport",
4048,"LEZG","medium_airport","Zaragoza Air Base",41.66619873046875,-1.0415500402450562,863,"EU","ES","ES-AR","Zaragoza","yes","LEZG","ZAZ",,,"https://en.wikipedia.org/wiki/Zaragoza_Airport",
4049,"LEZL","medium_airport","Sevilla Airport",37.417999267578125,-5.8931097984313965,112,"EU","ES","ES-AN","Sevilla","yes","LEZL","SVQ",,,"https://en.wikipedia.org/wiki/San_Pablo_Airport",
